sentiment,content
neutral,good morn good old germani wanna say hello new york love realli
neutral,oooh sunshin patch sunshin gone time leav work replac rain vent
happy,love boy make happi look sexiest plain black boxer p
happy,wait see yall friday hope meet u guy would make night even better
happy,finish load aim6 9 guess get updat twitter messag kati arttt
happy,omj 3rd episod jona great funni wish pizza girll lol 3
happy,yea call shallow save say make good music
neutral,cake anyon
happy,rather excit hospit placement start monday get give needl take blood
neutral,back work
sad,ok point taken tell team stop cynic champion standard activ x far better anyway
neutral,never tell mommi mean
happy,ill buy one
happy,hahaha think pretti far mayb next time though
happy,vaca buuu sigo en el work
neutral,look new sms send solut get 6 free sms everi itagg
neutral,point becom appar degre mean jack shit
angry,yea forc 5 turnov hold pretti good offens 7 point concern oh wait
neutral,someth outsid bell wont stop ring think children bike asbo
happy,oh noe puma hoodi come apart love thing
neutral,ugh walmart hot white wrong see peopl becom agoraphob
neutral,hey esme u
happy,good luck c funn
happy,realli hope car ill termin
happy,date movi nate like wolverin
happy,got eminem tix friday
happy,turn great killer workout hand guilt
angry,link work reason
neutral,read good thing bout feelin tonight proli finish tomorrow star trek
happy,thank interview mama enjoy night
neutral,cant send dream stori twitter send bebo mail x
sad,went realli well vid didnt work im sad
neutral,im lone werkin
sad,per taylor dayn convers offici jealous
angry,forgiv might make us look weak weakest person one hold anger hatr reveng
happy,also like aasman ke paar shaayad
neutral,would like remind peopl kansai scene whatev current issu like noth
happy,play acoust set style bar today 3 hope see
happy,would say bc overcast get sunni yes
neutral,xxx
neutral,mkg 3 alon
happy,hey thank 4 advic support
happy,happi star war day
happy,built mini cdn past day 3 locat au eu us geoip quit fun meddl
sad,left sad wait mom come home want papa john dinner
happy,happi mother day nfti
happy,silli boyfriend forget phone charger 4 day long trip kilkenni talk see gig went poo
happy,cool good know
happy,mate megan best thing sinc slice bread loveee
happy,happi mother day havent got mom present yet print amazon gift card
neutral,need increas salari
sad,think ever play fun suck market promot
angry,tryin figur lol
happy,sc2 releas d3 hope
neutral,pizza jami wtg britain got talent sure
neutral,uh oh
happy,wish came true see u
sad,woke morn line made half poni half monkey monster pleas get feel like
neutral,happi mother day
neutral,
happy,fake hahaha kid
sad,wow effect thank updat
happy,decod paramor great song love
sad,sorri gpgmail
happy,haha yea help technic itz call cheat teacher help us anyway im cheat
happy,happi mother day mom mommi mom qood one ladi
sad,sorri think 2 5 hrs till 2 day
angry,spent month arrang swap new job etc found lead merri danc fume
sad,meagan rochell one u need would say cater 2 u didnt produc
neutral,lack plan tonight anyon go
happy,good morn coffe taylor swift cd start
happy,say much like new twitteriff
angry,turn shit home button access \n\nwhen innov becom mind fuckeri iphonephonehom
happy,thankyou short stack bring second sydney show im go im thank guy good 2 ur fan
happy,enjoy new car
angry,need new outlet
angry,like up much today
happy,lol thank penni tri believ
happy,happi mother day mommi
sad,geek mind think alik
happy,make happi whether know 3
happy,yeah like oh oh oh yeah said lol bummer
angry,hate net ayaw bumuka ng twitter
sad,brief interrupt brb goodnight catch u later gotta ck someth
happy,mmmm honey mustard chicken w rice vege
neutral,way damn suck b ok
neutral,one fan vip one winner twist vid het si weer een raar gelopen chao
neutral,wonder day photo practicum fotoschool mind typic dutch cloud though
happy,watch alien boobi craig rise hous 11 earli bedtim grown up
neutral,haha yeah twitter mani use know ppl care
neutral,nin app get reject appl reznor threaten go jailbreak alway entertain
sad,room empti
neutral,awww mother day gone work today witht camera littl hope
happy,yes like much even cheesi
neutral,tri make feel home
happy,hi name chelsea respect opinion come dwts great
happy,aww yeah fun revis other get distract easier yeah tire revis histori
angry,grrr stupid internet connect ruin great scrabbl game
sad,miss lone empti without
neutral,finish watch love
angry,ughhhh mad ppl make time like 2 2 yucki thngs cut 2 deal w hr stuf ppl tear kill
happy,big shout home girl know
neutral,hiiiiii text u day u respond
happy,hope friend mother wonder mother day spend mine 2 awesom son happi
happy,love music good recommend someon know stuff
happy,good girl sarah got club
happy,listen 2 music home alon lol want 2 come hang lol
sad,could messag cheer
happy,ta much happi b day g son
neutral,damn mani good deal guy conspiraci steal money
sad,watch ten pound last night brilliant movi couldnt stop weep
happy,thank
neutral,wait till tomorrow new day
happy,thank much everyth sorri hurt
neutral,video today video blog vlog thing
neutral,ever need help podcast emporium let know
neutral,hi
angry,blame whole season natali season would differ turn back allianc piss
neutral,thank
happy,work yay
neutral,oh discreet
sad,wish could get back think 16 hour week bubbl would okay
sad,awww lil girl bgt said didnt time soo sad huggin
happy,tire gunna go bed soon first time onlin today readi mother day tomorow
neutral,good luck nandito first day ib exam road berkeley
neutral,good sentenc
neutral,omg would sooooo make dis show number one n da rate
happy,watch season 2 episod 1 hous bed great bedtim stori
neutral,chose wrong career
angry,turn rather fieri gg radic
happy,tyler perri hilari think bed though tweet ya morn goodnight
neutral,effect podcast audio version book plus ad charm banter
neutral,well need get motiv also homework essay love day
neutral,money good time
happy,back wingman great weekend
angry,shame display watch today left reel much anger dt feel like explod clown watch
angry,mobil phone check anoth fail american servic came close crash gate 0 3
happy,love puppi
neutral,love cant wait see ya soon night
neutral,back soon need run shop cut grass
neutral,tri tag pictur facebook alreadi 50 tag lol
neutral,yes notic retweet
happy,novel keep post
happy,pretti ladi happi mother day mother futur son law
happy,gonna knit felt heart toy mum mother day great realli love anyth give luv ya mummi
neutral,planet fit van wyck keep hear homi tell bout plus close hood u know lazzzi ass
happy,watch video youtub funni david oh talent cours
angry,hair man stride close watch major flinch away reaction draw growl throat
happy,got name sinc recco peep felt pretti honor gotta talk blowin ego like
happy,ohman amaz day thank mahal
happy,interest brilliant mysteri perfect beauti possibl abl lift full size van one hand
happy,thankyou ur night
happy,happi mother day justin timberlak version mother day gift funni
