tweet_id,sentiment,author,content
1956967341,neutral,xoshayzers,know listenin bad habit earlier start freakin part
1956967666,sad,wannamama,layin n bed headach ughhhh waitin call
1956967696,sad,coolfunky,funer ceremoni gloomi friday
1956967789,happy,czareaquino,want hang friend soon
1956968416,neutral,xkilljoyx,want trade someon houston ticket one
1956968477,sad,xxxPEACHESxxx,ping go prom bc bf like friend
1956968487,sad,ShansBee,sleep im think old friend want marri damn want 2 scandal
1956968636,sad,mcsleazy,hmmm
1956969035,sad,nic0lepaula,charlen love miss
1956969172,sad,Ingenue_Em,sorri least friday
1956969456,neutral,feinyheiny,cant fall asleep
1956969531,sad,dudeitsmanda,choke retain
1956970047,sad,Danied32,ugh beat stupid song get next rude
1956970424,sad,Samm_xo,u watch hill london u realis tourtur week week late watch itonlinelol
1956970860,angry,okiepeanut93,got news
1956971077,sad,Sim_34,storm electr gone
1956971170,happy,poppygallico,agre
1956971206,sad,brokenangel1982,sleepi even late fail
1956971473,sad,LCJ82,ladi gaga tweet impress video leak know
1956971586,sad,cleepow,convinc alway want signal give damn think lost anoth friend
1956971981,sad,andreagauster,oh bad hope get better sleep issu late
1956972097,happy,schiz0phren1c,wonder awak 7am write new song plot evil secret plot muahahaha oh damn secret anymor
1956972116,neutral,jansc,topic map talk balisag markup confer 2009 program onlin via topicmap
1956972270,sad,sweet8181,ate someth know keep tell thing food
1956972359,sad,xamountoftruth,tire think definit go get ear infect go bed earli
1956972444,sad,jomama6881,way home n 2 deal w underag girl drink gin da bus talk bout kegger damn feel old
1956972557,sad,LilithGaea,sorri peopl rude isaac get manner know better lewd
1956972884,sad,oONEPTUNEOo,damm server still need hit 80 koxper pass
1956973598,sad,username_origin,fudg bs whole paper tire ugh hate school time sleep
1956973690,sad,catchtheapple,hate cancer hate hate hate
1956974706,angry,MavrickAces,annoy start type comput middl night
1956975441,neutral,LovableKeKe,cant sleep
1956975860,neutral,analalalah,miss bl bus
1956975876,neutral,jubaldo,feel strong contract want go
1956975927,neutral,mikhaelaela,socal stoke mayb tomorrow
1956976187,neutral,ivoflipse5,screw 3 week
1956976312,sad,amy__xx,yeah feel funni caus slept enough woke mum caus sing impress
1956976371,sad,babyxj,need skott right
1956976557,neutral,JanBenn,work afternoon
1956976681,neutral,HarryHarley,aw would unfollow would would cri
1956977084,happy,ktierson,mmm much better day far still quit earli last day ud
1956977187,happy,diNGUYEN31,3 gonna first twitter caus amaz lol come canada would anyth see perform
1956977618,sad,MDD113,pick blackberri middl street crush
1956977624,sad,alexsnaps,feel pack hit sfo around time year think miss someth
1956978276,neutral,Aggie9,middl school elem high school remain open need credit graduat cali broken
1956978410,sad,TannerMade,bed time hope go school tomorrow though feel well right
1956978668,sad,bryancheung,ahh well hope could learn stuff way work separ thing also
1956979150,sad,rionne,problem photo twitter amf see face
1956979437,neutral,shenamygans,oh noooo blow tire reaaaalli go send batman smoke
1956979756,neutral,ryarellano,wnna take bath
1956979894,neutral,lookitsholly,chocol milk much better straw lack said straw
1956979900,sad,a_schmel,tire
1956979917,neutral,Dreness023,hey yu lil fucker textd yu
1956980788,neutral,nathaliep,time diff wrap day day stuff havent tweet talk soon must sleep 6hrs
1956980883,neutral,hollywoods500,way damn suck b ok
1956980972,sad,syl3nt,suck abl take day work money take trip sad
1956981427,happy,Caillie,bed sorta today good sara strep thought angelina share water b4 told prob get
1956981850,neutral,robuttley,recess hotel restructur account done add bit pressur short term cope
1956982075,neutral,minamic,got dib sulu
1956982383,sad,Ameeee,aww onward upward yay still sad leav bet
1956982449,sad,DawnofOURnight,haha poor abi still get sore
1956982576,sad,kShadhavar,diesel yari 70mpg sad avail us awesom
1956982605,sad,Diyeni,want buy great album unfortun dont hav enuff fund long time noisi
1956983160,sad,crittyjoy,honesti pain blech
1956983171,sad,paulyum,ok passeng one aliv dead know til end cri
1956983467,neutral,njc87,home alon much
1956983509,sad,heyitsmisti,ia much realli happi cook choic singl
1956983690,sad,Trishalove,fell asleep beach put enough sunscreen lol
1956983851,sad,sweetkisses277,think son might flu caus def clean stanki puke mess poor pumkpin
1956983874,happy,joia,great see oin cynthia happi dinner great cute littl place bad oin got sick afterward
1956983931,neutral,MunkyMunch,cant give bday nudg
1956984185,sad,HarryLyme,woman transfer first impress sexual matern onto less threaten man weak
1956984205,neutral,chicabajoelsol,brother bloom open weekend el paso buy brick enjoy watch brother bloom
1956984559,neutral,Marielii,say miss plurk
1956984864,sad,Amantou,bitten blood cat way rabi bacterin seem 7 shot 2 month never wash cat home hate water
1956984894,neutral,Chai_Bo,miss voobi
1956985129,neutral,Cookphotos,neither elp
1956985535,happy,quarrygirl,dude favorit sandwich place ever ummm take pictur
1956985612,sad,juliehuang,sad shin ae got marri alex
1956985758,sad,jazz_angela,sure tweet back news abuzz tr knight leav confirm today muy trist
1956985764,sad,Samm_xo,ohh thursday exam day wednesday
1956985973,neutral,ssabz,mix dentist appt afternoon reschedul tomorrow 9am
1956986211,sad,metaphysical1,think excit guy move realiz sad see go
1956986359,sad,bittenbyte,goooood mooorn peopl sun definit spring first spring hail storm car dimpl
1956986767,sad,AshLaws,love sakey usb stick 4gb australia
1956987381,sad,supkeke,fresh princ sleepi sleep night routin gotta go dmv earli tmrw
1956987600,angry,naterkane,dammit hulu desktop total screw abil talk particular port one dev server watch code
1956987828,sad,palomalopes24,jealous mom talk want see twitter make miss
1956987904,sad,creativevixen86,sleep keep think puppi play today
1956987950,sad,smiles4dayyz,supppos sleep got much got one part song stuck head jerk iknow blaahh
1956988145,neutral,padfootly,go sweetheart
1956988218,neutral,callatya,freak difficult get system wide spellcheck shit settl offic suit one stupid unhelp window
1956988223,sad,kabilan,last one month due summer strawberri availbl chennai market
1956988477,neutral,enlightenthem,work 6am gotta go bed soon
1956989093,happy,Angela_Grace,correct ador pluck put arm cuz cryin better hahaha
1956989514,sad,yellowduckx,hiii im ipod cant fall asleep
1956989526,sad,KaKuBby,dont wanna work 11 830 tomorrow get paid
1956989560,sad,benchidol,feel sad coz wasnt abl play guy
1956989561,neutral,outrAjusCharmer,princecharm
