sentiment,content
happy,guin got 2 new toy mom dad hous hooray free stuff
happy,went outsid pick flower marina love pick flower haha
neutral,back home
angry,new madden 16 video gonna xbox ahol go struggl
neutral,miss nostalgia everyon pleas kick tushar
neutral,work
sad,daddi left go back home texa c hope n next two month
happy,great pic fun love food wine festiv well beer fest
happy,present went well yes also met buch cool peopl check portfolio nice work detail project
neutral,movi worst fate use straight dvd straight divx straight internet
happy,thank ad
happy,wish someon enjoy drink outsid beauti even need live closer
happy,dude awesom
sad,ii either
neutral,sound like
neutral,morn school ickkk
neutral,babi
happy,tea mmmm crispi cake headphon
happy,haha yeah
happy,thank follow look forward tweet look entertain socialmedia
happy,lol sound fun
happy,whatev thank life make sure thank mother happi mother day mother
sad,everi saturday till 8 4 work suck friday monday juli 4th either
sad,season 13 grey anatomi premier today season 7 sad
neutral,awwh kinda hope jack would get banana highlight back
neutral,u go lmk let go togeth
angry,specif caus resent consid enemi
happy,appreci enjoy life \nuse smile help other use
happy,aww mom appreci much familia leav tour
neutral,chat one besti
happy,hahah know love hannah montana movi aweesom
happy,learn play sweet child mine guitar yay
sad,tri convinc wait bit see well want see
neutral,lazi day stay foot much possibl
neutral,made som situpp
angry,know go sort
happy,ill buy one
angry,thursday realli necessari u ever heard school horribl mum
happy,someon sweet tooth die somethin sweet attack chock coat tini teddi could find lol
neutral,
happy,nice action shot miss work pole dont see client everyday lol
sad,tire n sick fuck wrong w
sad,ran eclips mint
happy,good afternoon
happy,hey u never know channel 4 version gbbo might actual quit good advert end world optim
sad,crimin post pic brown frown get pic jack cooki diesel join
neutral,head back baltimor tonight
happy,look great morn alreadi
neutral,mean tri hard enought
neutral,come school 2day
angry,stupid hip hate even break new kick grrrr
sad,fuck dread live footi match
neutral,go work
neutral,wath dollhous hulu eat special el taquito beer b day week go well
neutral,follow
happy,night sparkl let go \ni wonder struck \nblush way home
sad,sad friend everyday long ass time
happy,aw sad shes cute
happy,congratul wish could see happen
happy,like ogberri
sad,decid time someth devil alway counteract frustrat discourag
happy,cant decid wht wanna rest day think may go bk 2 sleep woe uugghh lol
happy,great night
angry,noth good tonight anyway sigjean
neutral,sure your talk im ferri wheel im couch
sad,dang ldbf didnt give follow friday shot
neutral,work time
angry,place blow ubertwitt function switch tb
happy,fine thank long till christma excit
angry,aww lost 3 follow follow
angry,damn margi said share info kill evil eddi want info gave
neutral,hope get well soon possibl back hyper dog
happy,wweeeeooo snl soon
neutral,ship japan
angry,lost bowl suck
sad,long day thank good bake brighten weari wednesday gbbo
happy,knock sooo godamn funni never get old tupac biggi lol
neutral,
sad,bore without camera
neutral,worri get stamina back soon kind distanc run usual
happy,happi mother day mom
happy,awesom
happy,nice captur
sad,evermor end fashion rock poor foot though oww injur foot good sore tomorrow detail follow later
neutral,rain one reason stay snuggl beneath duvet
happy,wish unlimit glee episod could watch forev gleegoodby
neutral,miss granpa goingo church two hard month without
happy,ahh man im next weekend
sad,wish would send bruh dm til wast erect bot
happy,farm enjoy cari ann love compani
happy,tri reorgan plan tonight uggg hope still lot fun
sad,miss nicc today
angry,mean offend say person experi kid got place class take advantag
neutral,long hold wine without tip
happy,total welcom come hang wiki
happy,halfway work realiz forgot put underwear go one day mombrain toomuchgoingon longday breezi
sad,wish appreci turn taken care want break tire lost
neutral,perhap 3 minday morn
sad,internet pocket edg network denver sob
neutral,new friend pleas comment
happy,great local stop ask direct even better know answer
neutral,hey hey
happy,wish could paulo show fortun went brasilia one haha
happy,know love
happy,tri best make luck
neutral,hi goin see wednesay shepard bush
happy,happi mother day wonder mom matalatin
neutral,hope feel better soon littl magic girl
angry,chem better physic tire hahaha ntn bbf juga ya hihi gue sukanya jun pyo
sad,solut punish crimin way discourag crime circl continu
happy,costco bit print photo photobook
angry,want invit sick see link peopl play left
sad,food like put penutt butter bread alway broke bread need tost much
neutral,go homework bye
angry,okay reason buy app hate ea stand simciti rock though
